folder_name,gps_speed,ground_truth_dist,predicted_dist_raw,predicted_dist_filtered
20260212043917_112,9.33,0.8171369837426672,788.356063426299,788.356063426299
20260212043917_525,11.06,0.82036874416033,787.6768336105882,787.6768336105882
20260212043917_937,11.06,0.8184538106372699,789.8819557351602,789.8819557351602
20260212043918_351,13.27,0.8179338777462601,776.819045384729,787.6768336105882
20260212043918_764,13.27,0.8173824661760667,792.779198625078,792.779198625078
20260212043919_175,14.78,0.8176052163528414,788.0286657373119,788.0286657373119
20260212043919_589,14.78,0.8239413325408991,789.5542487361292,789.5542487361292
20260212043920_000,14.78,0.8245963884490444,801.770392739405,789.5542487361292
20260212043920_412,14.87,0.8285753028155822,795.1540056643232,795.1540056643232
20260212043920_823,14.87,0.8280818675357292,801.7707024827988,801.7707024827988
20260212043921_235,15.34,0.8279944828719996,793.458471486727,793.458471486727
20260212043921_647,15.34,0.8291596098587228,853.1756795182275,801.7707024827988
20260212043922_072,15.34,0.8215521413573434,791.436802134979,791.436802134979
20260212043922_483,8.54,0.8179832568202604,782.6135198485958,782.6135198485958
20260212043922_904,8.54,0.8216431362377716,787.5338153479838,787.5338153479838
20260212043923_319,7.74,0.8183512462892981,782.7828713575842,782.7828713575842
20260212043923_729,7.74,0.8159457110121986,779.8984545861422,779.8984545861422
20260212043924_141,7.74,0.8155550840763712,777.0270000628921,777.0270000628921
20260212043924_559,7.82,0.8125003149644735,784.6599740358553,784.6599740358553
20260212043924_971,7.82,0.8250200239971186,786.016285139032,786.016285139032
20260212043925_382,8.8,0.8173148181586356,805.8804694352781,786.016285139032
20260212043925_792,8.8,0.8161335819368152,775.8486383933139,775.8486383933139
20260212043926_203,11.69,0.8171400599393978,788.91140620391,788.91140620391
20260212043926_616,11.69,0.8068400015745572,790.2677294765175,790.2677294765175
20260212043927_028,11.69,0.8057791854324128,764.3097350586486,788.91140620391
20260212043927_439,8.23,0.8168462337993764,787.891574349274,787.891574349274
20260212043927_874,8.23,0.8221308080221499,782.8151935131026,782.8151935131026
20260212043928_285,5.04,0.8200444231530828,801.1379470473115,801.1379470473115
20260212043928_696,5.04,0.8202860747084154,793.6722340015345,793.6722340015345
20260212043929_106,5.04,0.8180319161234191,791.4663127844536,791.4663127844536
20260212043929_523,3.58,0.822205264965394,794.5202020942329,794.5202020942329
20260212043929_937,3.58,0.8280011208911213,877.1448739754823,794.5202020942329
20260212043930_350,3.29,0.8257164500860706,792.8229843397709,792.8229843397709
20260212043930_761,3.29,0.8257164500860706,808.4323645054494,808.4323645054494
20260212043931_172,2.89,0.826070005104887,787.5635123700441,787.5635123700441
20260212043931_589,2.89,0.8278043650987542,825.5670909249641,825.5670909249641
20260212043932_005,2.89,0.8269470237652454,791.8046883162366,791.8046883162366
20260212043932_417,3.55,0.8284615764015305,788.2411849825762,788.2411849825762
20260212043932_849,3.55,0.8314036354192702,816.5747787828149,791.8046883162366
20260212043933_285,5.17,0.838805607695061,818.4406965897434,818.4406965897434
20260212043933_696,5.17,0.8345885060086164,803.3406304311968,816.5747787828149
20260212043934_106,5.17,0.8292786437886405,784.351804865268,784.351804865268
20260212043934_517,11.66,0.8260311184626163,794.3615839643347,794.3615839643347
20260212043934_928,11.66,0.8136552959077961,770.2688334063868,770.2688334063868
20260212043935_340,16.95,0.8185533356386785,789.949405905882,789.949405905882
20260212043935_751,16.95,0.8191477676198519,791.8150556939618,791.8150556939618
20260212043936_161,21.87,0.8207127056826018,791.9834665394303,791.9834665394303
20260212043936_576,21.87,0.8172181017980844,782.1436593357253,791.8150556939618
20260212043936_989,21.87,0.8166435637840943,791.9834665394303,791.9834665394303
20260212043937_418,20.79,0.8217959887042068,783.1610286088284,783.1610286088284
20260212043937_802,20.79,0.8190214733978928,799.7866387480685,799.7866387480685
20260212043938_213,19.92,0.8169419831357325,778.4095282550652,778.4095282550652
20260212043938_630,19.92,0.8160259421186504,796.5627251511895,796.5627251511895
20260212043939_043,19.92,0.8177361243543343,790.9642150707457,790.9642150707457
20260212043939_454,14.64,0.8176266527980258,788.5889471576203,788.5889471576203
20260212043939_867,14.64,0.8150449695246578,792.1509031029473,792.1509031029473
20260212043940_280,15.72,0.8212852247557092,794.5261681797177,794.5261681797177
20260212043940_694,15.72,0.847785396091211,846.272330885872,794.5261681797177
20260212043941_107,15.72,0.089,769.4159258312441,769.4159258312441
20260212043941_519,16.13,0.089,753.2980618943162,753.2980618943162
20260212043941_930,16.13,0.81315,789.266652652583,789.266652652583
20260212043942_342,14.73,0.8106475000000001,795.3735273620072,795.3735273620072
20260212043942_754,14.73,0.7890708750000001,738.3678300369513,789.266652652583
20260212043943_190,13.71,0.83559606875,865.614124275856,865.614124275856
20260212043943_608,13.71,0.8112318519973047,785.533789768172,785.533789768172
20260212043944_019,13.71,0.8134891723547598,787.909358323,787.909358323
20260212043944_431,14.16,0.816839963957926,782.8195045870633,782.8195045870633
20260212043944_842,14.16,0.8121024251019454,789.9456327434698,789.9456327434698
20260212043945_256,14.37,0.8110165763162646,825.5742759689315,789.9456327434698
20260212043945_672,14.37,0.803688677270854,789.9456327434698,789.9456327434698
20260212043946_084,14.37,0.8095083779955083,771.6227477781536,771.6227477781536
20260212043946_496,14.8,0.8184977383070164,790.4546183315776,790.4546183315776
20260212043946_907,14.8,0.8195556993986668,787.4007048029302,787.4007048029302
20260212043947_319,14.88,0.8175897829959367,778.2386362247203,778.2386362247203
20260212043947_752,14.88,0.8198333589473589,791.3164297553883,791.3164297553883
20260212043948_133,14.88,0.8054887362009184,766.2063685418601,766.2063685418601
20260212043948_544,14.63,0.8398399999999999,821.6870851260938,821.6870851260938
20260212043948_960,14.63,0.819695435,773.6722188155635,773.6722188155635
20260212043949_372,17.79,0.823067233836875,794.3716787591575,794.3716787591575
20260212043949_784,17.79,0.8314377266600936,800.3096175774152,800.3096175774152
20260212043950_195,18.7,0.8361759606840281,799.4609839178513,799.4609839178513
20260212043950_632,18.7,0.8371618663318532,816.935808162992,800.3096175774152
20260212043951_043,18.7,0.8324437025413851,799.291319023132,799.291319023132
